file_name,full_path,size_bytes,tier,task_id,entries_count,last_modified,status
README.md,/home/ubuntu/ziwei_qimen/README.md,13257,other,N/A,N/A,2026-08-02 18:07:16,New/Modified
audit_log_v1.json,/home/ubuntu/ziwei_qimen/audit_log_v1.json,7261,governance,2.3,1,2026-08-03 10:27:31,New/Modified
audit_standards.md,/home/ubuntu/ziwei_qimen/audit_standards.md,2025,governance,N/A,N/A,2026-08-03 10:33:48,New/Modified
final_audit_report.md,/home/ubuntu/ziwei_qimen/final_audit_report.md,3030,governance,N/A,N/A,2026-08-03 10:35:35,New/Modified
system_manifest_v1.0.md,/home/ubuntu/ziwei_qimen/system_manifest_v1.0.md,5253,governance,N/A,N/A,2026-08-03 10:45:46,New/Modified
system_manifest_exhaustive_v1.1.csv,/home/ubuntu/ziwei_qimen/system_manifest_exhaustive_v1.1.csv,19155,governance,N/A,N/A,2026-08-03 11:59:23,New/Modified
system_manifest_exhaustive_v1.1.md,/home/ubuntu/ziwei_qimen/system_manifest_exhaustive_v1.1.md,21618,governance,N/A,N/A,2026-08-03 11:59:23,New/Modified
dual_parallel_fusion_engine_v1.1.json,/home/ubuntu/ziwei_qimen/engines/dual_parallel_fusion_engine_v1.1.json,12532,Tier 3 / 運算層,N/A,1,2026-08-02 18:07:16,New/Modified
full_compute_flow_v1.4.json,/home/ubuntu/ziwei_qimen/engines/full_compute_flow_v1.4.json,40077,Tier 3 / 運算層,N/A,1,2026-08-03 08:43:20,New/Modified
interpretation_engine_v1.1.json,/home/ubuntu/ziwei_qimen/engines/interpretation_engine_v1.1.json,58143,Tier 3 / 運算層,3.7 / 3.8,1,2026-08-03 10:27:21,New/Modified
modern_quantum_resonance_engine_v2.1.json,/home/ubuntu/ziwei_qimen/engines/modern_quantum_resonance_engine_v2.1.json,17432,Tier 3 / 運算層,N/A,1,2026-08-02 18:07:16,New/Modified
qimen_fengshui_layout_module_v0.1.json,/home/ubuntu/ziwei_qimen/engines/qimen_fengshui_layout_module_v0.1.json,11619,Tier 3 / data_table,N/A,1,2026-08-03 09:36:08,New/Modified
